company,exec,exec_pay,employee_pay,ratio,asterisk
Expedia Group,Mark D. Okerstrom,30720457,71696,431 to 1,
T-Mobile US,John J. Legere,23631206,55739,424 to 1,
Microsoft,Satya Nadella,20014152,n/a,n/a,
Micron Technology,Sanjay Mehrotra,15373026,n/a,n/a,
Nike,Mark G. Parker,13851499,n/a,n/a,
F5 Networks,Francois Locoh-Donou,11892265,n/a,n/a,
Starbucks,Kevin R. Johnson,11480364,n/a,n/a,
Fortive,James A. Lico,11396099,53805,212 to 1,
Weyerhaeuser,Doyle R. Simons,11169534,75893,151 to 1,
Paccar,Ronald Armstrong,9951022,74104,186 to 1,
FLIR Systems,James J. Cannon,8985273,79263,142 to 1,
Seattle Genetics,Clay B. Siegall,8616344,162443,53 to 1,
Schnitzer Steel Industries,Tamara L. Lundgren,8594066,n/a,n/a,
Zillow Group,Spencer M. Rascoff,7889179,121790,65 to 1,
Costco Wholesale,W. Craig Jelinek,6544004,n/a,n/a,
Expeditors International of Washington,Jeffrey S. Musser,6308768,40918,154 to 1,
Greenbrier Companies,William A. Furman,6247080,n/a,n/a,
Itron,Philip C. Mezey,5884658,47538,124 to 1,
Lithia Motors,Bryan B. DeBoer,5828583,39575,112 to 1,
CTI BioPharma,Adam R. Craig,5567989,169588,33 to 1,
Digimarc,Bruce L. Davis,5432083,127084,43 to 1,
Alaska Air Group,Bradley D. Tilden,5238064,49664,116 to 1,
PotlatchDeltic,Michael J. Covey,4717914,69946,79 to 1,
Nordstrom,Blake W. Nordstrom,4636054,30105,187 to 1,
Omeros ,Gregory A. Demopulos,4535284,146462,31 to 1,
Alder BioPharmaceuticals,Randall C. Schatzman,4217189,163432,26 to 1,
Clearwater Paper,Linda K. Massman,4141698,77091,54 to 1,
Boise Cascade,Thomas K. Corrick,4068331,45930,90 to 1,
Esterline Technologies,Curtis C. Reusser,4000398,n/a,n/a,
Hecla Mining,Phillips S. Baker,3953483,97982,51 to 1,
IDACORP ,Darrel T. Anderson,3933876,161297,42 to 1,
Lattice Semiconductor ,Darin G. Billerbeck,3711653,71439,52 to 1,
Portland General Electric,James J. Piro,3646902,99534,37 to 1,
Tableau Software,Adam Selipsky,3509719,199864,18 to 1,
Electro Scientific Industries,Michael D. Burger,3487002,n/a,n/a,
