company,exec,exec_pay,ratio,employee_pay,asterisk
T-Mobile US,John Legere,66538206,1116 to 1,59653,
Microsoft,Satya Nadella,25843263,154 to 1,167689,
Seattle Genetics,Clay Siegall,18107037,91 to 1,198658,
Funko,Brian Mariotti,16395614,n/a,n/a,
Micron Technology,Sanjay Mehrotra,14241583,252 to 1,56540,
Fortive,James Lico,13720993,242 to 1,56718,
Starbucks,Kevin Johnson,13382480,1049 to 1,12754,
Expedia Group ,Mark Okerstrom,13089562,194 to 1,67457,
Zillow Group,Spencer Rascoff,12863822,101 to 1,127421,†
Weyerhaeuser,Doyle Simons,10977826,159 to 1,70427,†
Paccar,Ronald Armstrong,10577841,181 to 1,71830,
Alder BioPharmaceuticals,Robert Azelby,10130790,63 to 1,167385,*
Lattice Semiconductor ,James Anderson,10002055,147 to 1,74420,*
Nike,Mark Parker,9467460,379 to 1,24955,
Schnitzer Steel Industries,Tamara Lundgren,8978351,164 to 1,55469,
Tableau Software,Adam Selipsky,8787603,58 to 1,150710,
FLIR Systems,James Cannon,7959846,108 to 1,73692,
Greenbrier Companies,William Furman,7473644,643 to 1,11618,
Costco Wholesale,Craig Jelinek,7300625,191 to 1,38810,
Expeditors International of Washington,Jeffrey Musser,6915480,158 to 1,43730,
F5 Networks,Francois Locoh-Donou,6857047,47 to 1,146911,
Lithia Motors,Bryan DeBoer,5442044,186 to 1,40944,
Itron,Philip Mezey,4971887,90 to 1,55023,
Omeros ,Gregory Demopulos,4740339,33 to 1,142837,
PotlatchDeltic,Michael Covey,4719259,93 to 1,53016,
IDACORP ,Darrel Anderson,4474464,40 to 1,133066,
Nordstrom,Erik Nordstrom,4451746,129 to 1,34454,*
Alaska Air Group,Bradley Tilden,4374845,80 to 1,54584,
Clearwater Paper,Linda Massman,4045905,52 to 1,77379,
Avista,Scott Morris,3817420,29 to 1,131014,
Boise Cascade,Thomas Corrick,3808821,75 to 1,51499,
Umpqua Holdings ,Cort O'Haver,3551514,61 to 1,58422,
Cray ,Peter Ungaro,3381415,30 to 1,114471,
Hecla Mining,Phillips Baker,3369090,39 to 1,94737,
Columbia Sportswear,Timothy Boyle,3304203,130 to 1,25377,
Portland General Electric ,Maria Pope,3206030,27 to 1,118209,*
CTI BioPharma ,Adam Craig,3032655,n/a,n/a,
nLIGHT,Scott Keeney,2794274,n/a,n/a,
Barrett Business Services,Michael Elich,2622434,26 to 1,100000,
NanoString Technologies,Bradley Gray,2527985,n/a,n/a,
Impinj,Chris Diorio,2518044,n/a,n/a,
Banner,Mark Grescovich,2513936,40 to 1,62463,
TrueBlue,Patrick Beharelle,2495541,359 to 1,7489,*
PetIQ,McCord Christensen,2467440,n/a,n/a,
Northwest Natural Gas,David Anderson,2411582,36 to 1,100132,
Washington Federal,Brent Beardall,2339716,53 to 1,43748,
Avalara,Scott McFarlane,2276044,n/a,n/a,
Digimarc ,Bruce Davis,2233854,n/a,n/a,
Columbia Banking System,Hadley Robbins,2149619,46 to 1,52276,
Red Lion Hotels ,Gregory Mount,2125989,n/a,n/a,
Zumiez,Richard Brooks,2100004,278 to 1,7557,
US Ecology,Jeffrey Feeler,1963355,34 to 1,57193,
Atossa Genetics,Steven Quay,1881344,n/a, n/a ,
Amazon.com,Jeff Bezos,1681840,58 to 1,28836,
HomeStreet,Mark Mason,1661072,21 to 1,79646,
Smartsheet ,Mark Mader,1641250,n/a,n/a,
FS Bancorp,Joseph Adams,1622639,n/a,n/a,
Heritage Financial ,Brian Vance,1422498,27 to 1,52473,†
Craft Brew Alliance,Andrew Thomas,1249277,23 to 1,54543,
Nautilus,Bruce Cazenave,1150024,16 to 1,70049,†
CUI Global,William Clough,1145165,23 to 1,50657,
RealNetworks,Robert Glaser,1106878,19 to 1,57383,
Aptevo Therapeutics,Marvin White,1104819,n/a, n/a ,
Achieve Life Sciences,Richard Stewart,1090265,n/a,n/a,
eXp World Holdings,Glenn Sanford,1077489,n/a, n/a ,
Alpine Immune Sciences,Mitchell Gold,1045690,n/a, n/a ,
Key Tronic,Craig Gates,997992,172 to 1,5817,
Data I/O,Anthony Ambrose,893224,n/a, n/a ,
Northwest Pipe ,Scott Montross,891994,12 to 1,71804,
Trupanion,Darryl Rawlings,875631,15 to 1,60011,
Coastal Financial,Eric Sprink,866344,n/a, n/a ,
Radiant Logistics,Bohn Crain,851936,n/a, n/a ,
Pope Resources,Thomas Ringo,847127,13 to 1, n/a ,
Marchex,Michael Arends,778645,n/a,n/a,* **
Papa Murphy’s Holdings,Weldon Spangler,751753,n/a,n/a,
BioLife Solutions,Michael Rice,691397,n/a,n/a,
First Financial Northwest,Joseph Kiley,678115,10 to 1,70598,
Sound Financial Bancorp,Laurie Stewart,666314,n/a,n/a,
Willamette Valley Vineyards,James Bernau,579557,n/a, n/a ,
MicroVision,Perry Mulligan,487373,3 to 1,147705,
Timberland Bancorp,Michael Sand,459788,n/a, n/a ,
eMagin ,Andrew Sculley,440000,n/a,n/a,
Intellicheck,Bryan Lewis,417601,n/a,n/a,*     
Riverview Bancorp,Patrick Sheaffer,413819,9 to 1,51406,†
ClearSign Combustion,Stephen Pirnat,380611,n/a,n/a,†
BSQUARE,Kevin Walsh,312274,n/a,n/a,* ** †
Jewett-Cameron Trading,Charles Hopewell,295721,n/a, n/a ,
Redfin,Glenn Kelman,250000,n/a,n/a,
Schmitt Industries,David Case,186296,n/a, n/a ,* †    
IsoRay,Lori Woods,107910,n/a, n/a ,*
